AccountCode,AccountName,ParentAccountCode,AccountClass,ContraAccount,Cash,Company,Sign
10000,Assets,,1,FALSE,FALSE,100,DR
10100,Current Assets,10000,1,FALSE,FALSE,100,DR
10110,Cash in Hand and in Bank,10100,1,FALSE,TRUE,100,DR
10111,Regular Checking Account,10110,1,FALSE,FALSE,100,DR
10112,Savings Account,10110,1,FALSE,FALSE,100,DR
10113,Cash in Hand A/C,10110,1,FALSE,FALSE,100,DR
10120,Accounts Receivable,10100,1,FALSE,FALSE,100,DR
10130,Other Receivables,10100,1,FALSE,FALSE,100,DR
10121,Allowance for Doubtful Accounts,10100,1,TRUE,FALSE,100,CR
10140,Prepaid Expenses,10100,1,FALSE,FALSE,100,
10150,Employee Advances,10100,1,FALSE,FALSE,100,
10700,Other Current Assets,10100,1,FALSE,FALSE,100,
10800,Inventory,10100,1,FALSE,FALSE,100,
10810,Goods Received Clearing Account,10100,1,FALSE,FALSE,100,
10900,Stocks of work in progress,10100,1,FALSE,FALSE,100,
10200,Noncurrent Assets,10000,1,FALSE,FALSE,100,
10300,Fixed Assets,10200,1,FALSE,FALSE,100,
13301,Furniture and Fixtures,10300,1,FALSE,FALSE,100,
13302,Plants & Equipments,10300,1,FALSE,FALSE,100,
13303,Vehicles,10300,1,FALSE,FALSE,100,
13304,Buildings,10300,1,FALSE,FALSE,100,
13305,Land,10300,1,FALSE,FALSE,100,
14000,Accumulated Depreciations,10300,1,FALSE,FALSE,100,
14001,Accumulated Depreciation-Furniture and Fixtures,10300,1,FALSE,FALSE,100,
14002,Accumulated Depreciation-Equipment,10300,1,FALSE,FALSE,100,
14003,Accumulated Depreciation-Vehicles,10300,1,FALSE,FALSE,100,
14004,Accumulated Depreciations-Building,10300,1,FALSE,FALSE,100,
14005,Accumulated Depreciation-Building Improvements,10300,1,FALSE,FALSE,100,
15000,Other Assets,10000,1,FALSE,FALSE,100,
20000,Liabilities,,2,FALSE,FALSE,100,
20100,Current Liabilities,20000,2,FALSE,FALSE,100,
20110,Accounts Payable,20100,2,FALSE,FALSE,100,
20201,Accrued Expenses,20100,2,FALSE,FALSE,100,
20202,Wages Payable,20100,2,FALSE,FALSE,100,
20203,Deductions Payable,20100,2,FALSE,FALSE,100,
20204,Health Insurance Payable,20100,2,FALSE,FALSE,100,
20300,Tax Payables,20100,2,FALSE,FALSE,100,
20301,Local Payroll Taxes Payable,20100,2,FALSE,FALSE,100,
20302,Income Taxes Payable,20100,2,FALSE,FALSE,100,
20303,Other Taxes Payable,20100,2,FALSE,FALSE,100,
20304,Advances-H.O. Dues,20100,2,FALSE,FALSE,100,
20400,Other Current Liabilities,20100,2,FALSE,FALSE,100,
20500,Non-current Liabilities,20000,2,FALSE,FALSE,100,
20600,Other Long-term Liabilities,20000,2,FALSE,FALSE,100,
30000,Equity,,3,FALSE,FALSE,100,
30100,Member Capital,30000,3,FALSE,FALSE,100,
30200,Capital Surplus,30000,3,FALSE,FALSE,100,
30300,Retained Surplus,30000,3,FALSE,FALSE,100,
30400,Accumulated Profits,30000,3,FALSE,FALSE,100,
30500,Accumulated Losses,30000,3,FALSE,FALSE,100,
30600,Other Reserves,30000,3,FALSE,FALSE,100,
40000,Revenues,,4,FALSE,FALSE,100,
40100,Sales A/C,40000,4,FALSE,FALSE,100,
40200,Home Owners,40000,4,FALSE,FALSE,100,
40300,Interest Income,40000,4,FALSE,FALSE,100,
40400,Sales Discounts,40000,4,FALSE,FALSE,100,
40500,Shipping and Handling,40000,4,FALSE,FALSE,100,
40600,Other Income,40000,4,FALSE,FALSE,100,
50000,Expenses,,5,FALSE,FALSE,100,
50100,General and Admin Expenses,50000,5,FALSE,FALSE,100,
50101,Salary Expenses,50100,5,FALSE,FALSE,100,
50102,Wages Expenses,50100,5,FALSE,FALSE,100,
50103,Employee Benefit Expenses,50100,5,FALSE,FALSE,100,
50104,Employee Benefit Expenses-Health Insurance,50100,5,FALSE,FALSE,100,
50105,Employee Benefit Expenses-Pension Plans,50100,5,FALSE,FALSE,100,
50106,Employee Benefit Expenses-Profit Sharing Plan,50100,5,FALSE,FALSE,100,
50107,Employee Benefit Expenses-Other,50100,5,FALSE,FALSE,100,
50108,Repair and Maintenance Expenses,50100,5,FALSE,FALSE,100,
50109,Repair and Maintenance Expenses-Office Equipment,50100,5,FALSE,FALSE,100,
50110,Repair and Maintenance Expenses-Vehicle,50100,5,FALSE,FALSE,100,
50111,Supplies Expenses-Office,50100,5,FALSE,FALSE,100,
50112,Telephone Expenses,50100,5,FALSE,FALSE,100,
50113,Postage Expenses,50100,5,FALSE,FALSE,100,
50114,Insurance Expenses-Vehicle,50100,5,FALSE,FALSE,100,
50115,Dues and Subscriptions Expenses,50100,5,FALSE,FALSE,100,
50116,Depreciation Expenses,50100,5,FALSE,FALSE,100,
50117,Meals and Entertainment Expenses,50100,5,FALSE,FALSE,100,
50118,Travel Expenses,50100,5,FALSE,FALSE,100,
50119,Utilities Expenses,50100,5,FALSE,FALSE,100,
50120,Legal and Professional Expenses,50100,5,FALSE,FALSE,100,
50121,Bank Charges,50100,5,FALSE,FALSE,100,
50200,Purchase A/C,50000,5,FALSE,FALSE,100,
50300,Cost of Goods Sold,50000,5,FALSE,FALSE,100,
50400,Purchase Discounts,50000,5,FALSE,FALSE,100,
50500,Purchase price Variance,50000,5,FALSE,FALSE,100,
50600,Other Expenses,50000,5,FALSE,FALSE,100,
